text,label,sentiment
Ang ganda ang sharp nya nagustuhan siya ng anak ko yung stamp ang laking tulong talaga will order again soon bagay na bagay sa mga nag uumpisa palang matuto,4,Positive
Panget po ng mic napakahina. nakakadissapoint pero malakas ung speaker panget lang talaga ung mic,0,Negative
Nag chacharge ako umiinit sya di pwedeng matagalan masusunog ang charge ayyss Sayang pera,0,Negative
"I order this during flash deals. Excited pa naman akong iopen, ang ganda ng pagkakabalot nya. Tapos pagkaopen ko iba ung binigay na item, I was expecting the dual cp stand po. Medyo madumi din at nangangalawang din ung turnilyo nya. Pero okay na din po sya kasi mura lang naman",2,Neutral
Grabe sa bubble wrap kung may 10 star irate q ng 10 to store n to safe un packaging. At ang bilis lng dumating thank u seller,4,Positive
Laggy onti pero kaya pa rin naman mag multi task and maganda os. Let' s see kung maganda performance in gaming terms.,3,Neutral
Maganda nman. Kaya lng may dalawang white na Hindi masyado maliwanag. pero legit Naman talga,3,Neutral
"Working lahat kaso 4 stars lang dahil yupi ang mga boxes, di presentable para iregalo and may isang cable na walang connectivity buti meron ako dito. Anyway, salamat seller.",3,Neutral
Hndi tumutupad sa sinabi Ang seller pinapa bubble wrap lang d pa nabubble wrap nahulog nanga ng rider na daanan pa ng tricycle kawaj order ko ahahahhaha,1,Negative
"Ang binili ko plain bibigyan ako ng may printed. Tsaka ang pinili ko yung brown ang lens, bibigyan ako ng itim?",0,Negative
Okay Naman Yung shoes pero Yung box sira² na pag open ko and Yung lace manipis madali maputol pero okay Naman siya.,3,Neutral
Size 10 lang ako pero 42 pinili ko. Hindi pa pumasok yung paa ko jusko,2,Negative
Hindi gumagana tried it to charge dyosko kakainis lang tagal ko pa naman hinintay to,1,Negative
"HONEST REVIEW: kinabahan ako nung dumating na yung item kasi hindi na maayos yung pagkabox niya eh fragile pa naman yung item at hindi pa naka bubble tsk. Risky ang packaging hindi nakakatuwa dahil seller din ako, working ng maayos yung isa pero yung isa ayaw umikot ng kabila so baka na damage dahil hindi maayos packaging. Anyway i hope ayusin niyo yan",1,Negative
Maganda naman ang item. price is what you get. medyo natagalan nga lang ang delivery. di dumating sa expected date.,3,Neutral
Hang pangit pala. Napaka hina. Mas malakas pa hininga ko kesa dito haaaaaaaaah,0,Negative
Ibang kulay yung dumating sa watch black and gold inorder ko tapos kay pink yung lalagyan ng earphones,2,Negative
"Medyo madumi nung dumating pero sobrang worth it siya sa price na 50php haha. Maganda yung material na ginamit. Hindi siya thin pero hindi rin siya thick, sakto lang. thanks seller, till next time. My dad and I are satisfied with the product.",3,Positive
Ang laki haha but im up to the challenge. Lagi kong nakakaligtaang uminom ng tubig kaya maganda to for me. Ang ganda din ng kulay at mukhang matibay,4,Positive
Medjo disappointed ako kase may stain sya or dumi kung ano bato pero ok naman very nice naman ang quality,3,Neutral
Sayang okay na sana may isang lamp na may sira at kulang nang spike kaya di ko mailagay nang maayos. Kelangan pa magimprovise. Next time po paki check ng maiigi bago iship. Salamat,1,Negative
"Thabk you po, ito rin po binili ko last last year at nagustuhan ko naman po sya, ito na po ang gagamitin ko hanggang sa sunod, thank you shopee",4,Positive
mabilis ang delivery pero hndi ok ang item kasi may mga punit at butas ung cover at sira din un pang adjust ng upuan kusang bumababa pag umupo ko. so disapointed d na ko bbili ulit sa inyo,0,Negative
di sia recommended for plus size talaga maliit sia talaga may damage pa ung isang blouse kaya 2 star lang,1,Negative
"You get what you pay for. Ok naman ibang books, pero disappointed lang ako sa ibang bukas may kulang na page. Sobrang excited ko pa naman pero mura lang din kasi. Thanks seller,",4,Neutral
Ok na ok sya. D ko lang magets yung cup na nagproprompt kung aning I big sabihin. Ayos!,3,Positive
"Thank you received ko na wlang damage at gumagana nmn d ko pa lng po, sna tumagal sya. thanks po",4,Positive
nasa 700mah lng ang battery hindi 4600mah magaang sya parabsa 4600mah,2,Negative
"sira yong packaging niya pero wala naman damage yonh product, maganda and worth it! thankyou seller!",4,Positive
Medyo malaki sya maganda at super chic nya then may mga free labels na yun ngalang matatangal na ata Thank you seller will order again,4,Positive
"Sobrang ganda, napaka talas at talim nya maganda nmn quality nya para s price nya",4,Positive
2nd time ordering in these store and im satisfied with their item. kakadating lang nia ngayun and ginamit q umilaw xia. ang bilis malobat wala pa isang oras wala n agad.,2,Neutral
ok naman yung tv di lang masyado sa resolution pero for the price ok naman. photo not related.,1,Neutral
Ok naman lahat kaso yung d umilaw agad. Parang may natanggal sa loob may tumutunog pag isishake tsaka xa gagana. Sana lang magtagal.,3,Neutral
Magandaaa syaaa medyo mahina lng ung sound nyaaaa pero magandaa lightning nya overall 4star for me,4,Neutral
Malambot sya mukha naman pong nagustuhan ng ate ko gusto nya kse magkaroon ng ganyan and bilis nya din dumating thankyou seller and kuya rider,4,Positive
Sobrang tagal dumating nung order ko and Hindi ko rin nagustuhan Yung packaging,2,Negative
Wag kayu dto bibili pota scammer to pota WALANG kwentang seller BWESIT ka sana mamatay kanalang pota mora nga pero sera naman ung mga hndi mag connect sa bluettoth. Sana hndi kayu dto mag bibili Ng mga items nya pota ka sayang lang Pera ko Sayu BWESIT ka,0,Negative
"Super ganda ng items, maliwanag sya, and super bilis nadeliver",4,Positive
"Mgaganda ok nman mga item, un nga lang toothbrush akla ko for adult, tsaka subra lambot, pero ok n sa price,",3,Neutral
"Ang llapad ng blouse prang magkaiba s picture mganda xnda yong tela, kaso mlapad parang bagay s mga mtataba, sayang gagawan ko nlng ng praan pra masuot ang ganda sana thnk you parin s seller, at ky kuya raider Gobless po",1,Neutral
Good for its price siya. Okay naman. Goods po ito. Nakakatipud ng gasul o superkalan o kung ano man yun. Natuwa nanay ko. Salamat seller.,4,Positive
May order akong gorilla tripod ayun hindi lang siguro nacheck ng maigi yung orders ko,2,Negative
Yung finger sleeve hindi dumating tapos yung speaker may damage pero nagagamit naman okay na sana kaso kulang dumating order ko,2,Negative
"Received ko na po yung item, well packed po kaya walang leak. Thank you seller ang kuya rider na always nakangiti. Thank you po ulit.",4,Positive
Nag message nmn ako na assorted pag deliver sa akin same color lahat nakakabwezit talaga.,0,Negative
"Supperrrrrrrr salamat po, supperrrrr saya may freebies po si seller, well pack po pagkakarecive ko, maraming maraming salamat po, pangalawang order ko npo, oorder po uli ako,",4,Positive
Okay naman sya. Kaso lubog yung button nya bat ganon,1,Neutral
"Okay naman, ingat lang kayo pag ilalagay nyo mabigat na phone. salamat seller",4,Positive
"Okay na siya for its price na 22 php! Cute siya. Hindi ko inexpect na ganyan iyong size niya. Goods na goods ang quality sa murang halaga. Kaso 4 stars lang kasi pinaasa ako ni seller. Tinanong ko siya if okay lang free nalang iyong bag tapos sabi niya okay daw. Yun pala, wala naman. Masakit.",3,Neutral
"Plastic pala sya, ok lang sana pero di stable. Mas magaganda yung mga single na nabili ko sa shop na to.",2,Negative
Di ko nagustuhan packaging. Sayang yung mga natapon. Tapos medyo matagal konti delivery.,1,Negative
"Napaka ganda po ng phone. Ang kaso ko lang po sabi nung pag order ko may freebie na speaker kaso wala pero ok lang, ung phone naman ang importante. Infinix the best!",4,Neutral
Parang mongol pencil lng din ang quality pro na mas mura. Oorder ak sa uulitin seller.,4,Positive
Ok nmn Kaso hnd nasunod ung gusto kung design na mask,3,Neutral
"Good quality, madumi nga lang yung sa loob ng battery ng sony pero nagana naman lahat ng order ko. Sana tumagal ko sya magamit",3,Positive
"Ang order ko po ay 6pcs. Bakit 4pcs lang po ung dumating. Anyway, thanks.",2,Negative
Good for the price I can say na matibay gagamitin sya sa pag da- drive so hoping na matibay sya.,3,Positive
Mali ang pinadala nagmsg ako hindi rin nag rereply. Sana man lng sinasabi nyo kung hindi available ang gusto namen para makapi kami ng ibang style na gusto ng mga anak ko at sana man lang magkaiba ang kulay ng tumbler.,1,Negative
Ok sya kaso nahhirapan ako maglagay ng tubig lalo pag magisa.,3,Neutral
"matagal na akong user ng human nature product kaya alam kong effective siya, but this is my first time na umorder sa shop na ito kasi nakita kong mas mura, and I was surprise sa packaging nial kahit one item lang kinuha ko. Thank you, seller",4,Positive
Nagustohan ng anak ko maganda ang product 100% salamat Hindi sayang ang Pera ko,3,Positive
"Hindi pa na try lowbat kc, change rating nalang pagnatry namin. Pero maganda ang quality nya Dapat naka lagay sa box",3,Neutral
Thank you po ang bilis din po dumating. Oorder po ako ulit ang ganda wla ding damage kuhaan ko din si jowa at pamangkins ko po,4,Positive
bakit iba ang dumating sa order ko at basag pa ang speaker,0,Negative
"DON’ T EXPECT MY IN LAW ORDERED IT, ITEM’ S NOT CLOSE ENOUGH SA PICTURE NA NAKALAGAY, too bad di kami nakakuha ng onhand pic bago orderin",0,Negative
"Hnd sya gumagana madali lng ma lowbat kahit hnd Pa Ginagamit chenarge ko sya ng buong gabe pru hnd parin, sorry seller,",1,Negative
Too small and yung material quality niya is manipis,2,Negative
Wag kau bumili dito. Ndi makontak Ang seller pag irereturn Ang item Ndi kompleto Ang detail Ng seller kaya no way na maibabalik nyu Ang item pag Dumating sa inyu na damage IGNORED na kau after bumili. 4 days ko chinachat until ma expire in 5 days return ko. Kung ok sa inyu take the risk. Buy here I buy 5. 5ft 6step ladder. Delikado kasi pag bumigay habang ginagamit. Gudlak Antagal Dumating more than 1 week,0,Negative
"Maganda Sana Yung quality Ng paper kaya Lang sobrang nipis, parang bondpaper Lang sya.",2,Negative
"Hindi gumagana ung isang piece, pwede b ibalik or palitan",1,Negative
ang cute beh and very easy to clip on or ano man tawag dun basta ang cute and like madadala mo kahit saan nakalimutan ko na yung word pero basta ang cute will order again soon pic n vid not related),4,Positive
ayos naman sya nagkaproblema lang nung una sa netflix kasi ayaw nya magstart tas ayun nood sa yt gumana naman. salamat gumagana naman sya at malinaw. mabilis din ang delivery edit: nagkakaroon lng ng problema sa connection ng internet nawawala wala sya kahit mabilis naman net namin,3,Neutral
Nakita ko to sa tiktok and nagorder agad. okay naman pero nakakadry ng lips? pero atleast di ka maputla lol. okay yung shades niya!,3,Neutral
Well pack but Ang Dali nmang masira Isang beses lang ngamit sira na,4,Negative
thank you nareceive ko na siya. All in good condition naman. Order ulit ako soon hehe salamat uli seller. Maayos din packaging,4,Positive
Sayang sa pera at oras. Alam naman na basag ibebenta pa. Karmahin sana kayo.,0,Negative
"Sobrang laki pala ng 3xl sa chart kasi nla 3xl is nasa 60 kilo pero sobrang laki. Dapat pala Xl lng. Sayang d magamit, mukhang matibay nman makapal ang tela",2,Neutral
Yung quality na ini expect q nd sya ganon kaganda. Ok nman ung packaging maayos sya.,2,Neutral
Nadissapoint ako Kasi sobrang nipis ng white although Tama yung kulay sa order ko pero Hindi Siya stretchable ang sikip sa braso,0,Negative
Ok naman ung kulay kaya lang manipis lang sya parang masasaktan pa rin paa mo if maka apak ka ng maliit na bato. Delivery malinis naman.,2,Neutral
Grabe 16% lang inabot sa full charge nya. nag empty na agad. So disappointed po. Buti nlng talaga hindi xa costly. Tried buying 2 for testing kasi marami sana kaming bibili dito sa compound for the next order.,1,Negative
mabilis madeliver 2- 3 days kaso maling color yung dumating blue yung order namen black yung mabigay samen tas sabog na sabog yung speakers,1,Negative
Galing niya for the price. Very worth it. Tuwang talaga si baby namin. For sure bibili ulit soon. Maganda siya gamitan ng remote. Sana magtagal ang tires since depende parin naman sa pag gamit kasi plastic lang siya.,4,Positive
"Sana manlang po nag lagay kayo ng protection para ma secure yung gilid ng boxes kasi gagamitin namin yam sa business pang packaging, tama nga yung sukat kaso puro dents naman",2,Negative
Sobrang nipisd gaani strechable mabilis mapunit pwede narin pang tulog pambahay,2,Neutral
"Actually okay yung item, maganda siya. Medium to large ako pero kasya sakin. I gave 2 stars because of the packaging. Wala man lang sariling plastic yung damit, basta na lang siya pinack. Lukot lukot, kala mo sinuot muna bago ishipped out. Oorder pa naman sana ako ulit. No pic kase nilabhan ko agad.",1,Neutral
Masyadong mahal e sobrang nipis ng tela manipis pa sa spandex.,0,Negative
Dlawa inoorder q pero d Po gumagna prehas ung ung Isang kpares nila,1,Negative
Good quality. maliit nga lng pero okey nman yubg sounds,2,Positive
Akla ko malaki na at sakto sa akin kya nga xxl inurder kong size for sure pero nadismaya ako maliit pa at btin at ung tatak n nike natanggal kaagad,0,Negative
Malapit ng masira ung power botton ng kulay green sana bago ipadala i check muna slamat,2,Negative
"When i opened the parcel, yng shampoo is not puno"" Sayang di puno. Medyo dismayado ako. 4 lang rate ko.",3,Negative
Ito yung poor quality sa lahat ng binili ko. Manipis yung material.,1,Negative
"hindi kasya sa paa ko, size 10. 5, kung sana may ibang option for bigger sizes",2,Negative
Okay naman kaso yung mga dikit nya parang madaling masira at hindi na didikit katagalan iba yung type nya tapos yung bone okay naman kaso nung tinry ko sya nahuhukot parin ako.,2,Neutral
"Sobrang solid ng tripod, Large size, mafifeel mo talaga yung tibay at kunat kaya kulang ang 5 star dito however, yung inorder ko ring mic, para sobrang hina to not working na talaga kaya 0 star for it. Huhuhu pero ayos lang kasi 25 lang sya pero mas maganda sana kung maayos lahat.",1,Neutral
Okay naman mga item except in this one. Basag yung slamin. Naihagis ba ito ng j& t Salamat sa seller na mabait ngsend photo bago ipadla.,3,Neutral
Di po fit sa hexagonal ang butas. Yong isa ay may kulang sa ibabaw na kalang.,3,Negative
Maganda nman sya gamitin Pero need talaga mag prepare ng ibang battery kasi kapag ma lowbat my resirba.,3,Neutral
